text_raw,instance_id_raw,user_raw,text,inferred_politeness,source,len,id
"Hey E, I have a question about my juices. What would you like me to paint? Thank you.",655,6098164e4c37ed73ca9c74f5,"Hey E, I have a question about my juices. What would you like me to paint? Thank you.",4.194441,revised,18,0
"Hello Mary. Here is the outage information for LV, as requested. Please contact me if you have any further questions. -Les",1474,62ce35b697d7d717edaeee58,"Hello Mary. Here is the outage information for LV, as requested. Please contact me if you have any further questions. -Les",4.251413,revised,21,1
you can't be cheap if you take me out.  i won't stand for it.,927,enron,you can't be cheap if you take me out.  i won't stand for it.,2.6473737,enron,15,2
Attached are the Functional Income Statement and O&M Expense reports for October 2001-- the 6th workday.,790,63c06106314da889290931cd,Attached are the Functional Income Statement and O&M Expense reports for October 2001-- the 6th workday.,3.361151,revised,16,3
"Kay, I hate to sound stupid, but............do you want all of the letters redlined or just the highlighted one?  You want the date at the top of the letter to be September 13, 2001 right?  Have the changes been made that these guys are talking about or is that something else?  Do you want me to do a new version or just put on the track changes to pick up all the changes that have been made to the letters?",333,enron,"Kay, I hate to sound stupid, but............do you want all of the letters redlined or just the highlighted one?  You want the date at the top of the letter to be September 13, 2001 right?  Have the changes been made that these guys are talking about or is that something else?  Do you want me to do a new version or just put on the track changes to pick up all the changes that have been made to the letters?",2.9010952,enron,83,4
"I was a little taken aback at the ""weekends are my time"" comment.  But in any case, Friday should be acceptable, so go ahead and give me a call in the afternoon, and we'll go from there.

Thank you,

Susan
Enron Capital & Trade Resources Corp.

P.S. Gas prices are up almost $0.50 in two days; it's a bit crazy around here.",1219,63ed059a43d8d970d47c98a0,"I was a little taken aback at the ""weekends are my time"" comment.  But in any case, Friday should be acceptable, so go ahead and give me a call in the afternoon, and we'll go from there.<br><br><br><br>Thank you,<br><br><br><br>Susan<br><br>Enron Capital & Trade Resources Corp.<br><br><br><br>P.S. Gas prices are up almost $0.50 in two days; it's a bit crazy around here.",4.0666203,revised,59,5
"Please don't leave me hanging. What are you thinking with a discussion that could trigger someone? Please get back to me soon, I always strive to respect the confidentiality  of our discussions.",1459,633f63a85f73534dbcfa5ae5,"Please don't leave me hanging. What are you thinking with a discussion that could trigger someone? Please get back to me soon, I always strive to respect the confidentiality  of our discussions.",3.3762362,revised,33,6
"Hi Sally Beck. As usual, when you agree with me, I think that you are
brilliant.
Ted",493,637d5f042e21102f772b6e30,"Hi Sally Beck. As usual, when you agree with me, I think that you are<br><br>brilliant.<br><br>Ted",4.0811453,revised,15,7
Please file this in the second binder and ask to be put on the distribution list. Thank you. ,1256,5dd405ab80123f3eaae9af80,Please file this in the second binder and ask to be put on the distribution list. Thank you. ,4.3855333,revised,19,8
"How are you this morning?<br>Are you listening to the investor conference call?<br>Are you going to the employee meeting?<br>You need to let me know when you have regular scheduled meetings so i'm not calling at those times.<br>When does nymex open and close?<br>I could tell you were in a meeting when i called this morning. It also sounded like you are sick. Are you???<br>Not too much going on up here, just the usual pissed off customers yelling at me!<br>Hope all is well.<br>Mike",948,enron,"How are you this morning?<br>Are you listening to the investor conference call?<br>Are you going to the employee meeting?<br>You need to let me know when you have regular scheduled meetings so i'm not calling at those times.<br>When does nymex open and close?<br>I could tell you were in a meeting when i called this morning. It also sounded like you are sick. Are you???<br>Not too much going on up here, just the usual pissed off customers yelling at me!<br>Hope all is well.<br>Mike",2.7469754,enron,80,9
we might go get some food and spirits after work if you are interested.  i am going to butt-fuck mississippi for val's wedding.  i will be in town the rest of the month so i am ready to start tearing up houston again.  let me know if you are up for drinks after work.,903,enron,we might go get some food and spirits after work if you are interested.  i am going to butt-fuck mississippi for val's wedding.  i will be in town the rest of the month so i am ready to start tearing up houston again.  let me know if you are up for drinks after work.,1.9778289,enron,57,10
